line,name,notes,objectid,url,boro_cd_count,boro_cd_unique,boro_cd_min,boro_cd_max,boro_cd_range,boro_cd_sum,boro_cd_mean,boro_cd_median,boro_cd_stddev,boro_cd_minority,boro_cd_majority,boro_cd_q1,boro_cd_q3,boro_cd_iqr,shape_area_count,shape_area_unique,shape_area_min,shape_area_max,shape_area_range,shape_area_sum,shape_area_mean,shape_area_median,shape_area_stddev,shape_area_minority,shape_area_majority,shape_area_q1,shape_area_q3,shape_area_iqr,shape_leng_count,shape_leng_unique,shape_leng_min,shape_leng_max,shape_leng_range,shape_leng_sum,shape_leng_mean,shape_leng_median,shape_leng_stddev,shape_leng_minority,shape_leng_majority,shape_leng_q1,shape_leng_q3,shape_leng_iqr
2-3-4,Bergen St,"4-nights, 3-all other times, 2-all times","4.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","306.000000","0.000000","1","1","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","85497477.959200","0.000000","1","1","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","82130.540159","0.000000"
3-4,Pennsylvania Ave,"4-nights, 3-all other times","5.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
A-C,Kingston - Throop Aves,"A-nights, C-all other times","8.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
J-Z,Van Siclen Ave,"Z-rush hours AM westbound, PM eastbound, J-all other times","12.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
J-Z,Norwood Ave,"Z-rush hours AM westbound, PM eastbound, J-all other times","13.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","0.000000","305.000000","305.000000","305.000000","305.000000","0.000000","1","1","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","0.000000","155482769.958000","155482769.958000","155482769.958000","155482769.958000","0.000000","1","1","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","0.000000","65109.210260","65109.210260","65109.210260","65109.210260","0.000000"
B-D-N-Q-R,DeKalb Ave,"B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times","15.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","0.000000","302.000000","302.000000","302.000000","302.000000","0.000000","1","1","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","0.000000","79329421.101000","79329421.101000","79329421.101000","79329421.101000","0.000000","1","1","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","0.000000","74179.912504","74179.912504","74179.912504","74179.912504","0.000000"
J-Z,Chauncey St,"Z-rush hours AM westbound, PM eastbound, J-all other times","35.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","0.000000","316.000000","316.000000","316.000000","316.000000","0.000000","1","1","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","0.000000","51768906.895300","51768906.895300","51768906.895300","51768906.895300","0.000000","1","1","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","0.000000","32997.574980","32997.574980","32997.574980","32997.574980","0.000000"
D-N-R,Union St,"D,N-nights, R-all other times","36.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","0.000000","306.000000","306.000000","306.000000","306.000000","0.000000","1","1","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","0.000000","85497477.959200","85497477.959200","85497477.959200","85497477.959200","0.000000","1","1","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","0.000000","82130.540159","82130.540159","82130.540159","82130.540159","0.000000"
A-C,Ralph Ave,"A-nights, C-all other times","38.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","0.000000","303.000000","303.000000","303.000000","303.000000","0.000000","1","1","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","0.000000","79461359.640400","79461359.640400","79461359.640400","79461359.640400","0.000000","1","1","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","0.000000","36213.696037","36213.696037","36213.696037","36213.696037","0.000000"
2-3-4-5,Franklin Ave,"2,4-all times, 3-all times exc nights, 5-weekdays","42.0000000000000000000000000000000",http://web.mta.info/nyct/service/,"1","1","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","0.000000","308.000000","308.000000","308.000000","308.000000","0.000000","1","1","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","0.000000","45592893.957000","45592893.957000","45592893.957000","45592893.957000","0.000000","1","1","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","0.000000","38229.602837","38229.602837","38229.602837","38229.602837","0.000000"
