,zipcode,count_2020,COVID_CASE_COUNT
0,11221,9446,1371
1,11216,6355,765
2,11233,6409,1314
3,11213,6503,1450
4,11212,6442,1950
5,11225,7775,1188
6,11218,5074,1801
7,11226,13909,2382
8,11219,4302,3128
9,11210,4369,1751
10,11230,5951,2429
11,11204,4860,2070
12,11222,4662,468
13,11211,6094,2142
14,11237,6254,1017
15,11206,7330,1657
16,11201,5381,742
17,11205,3838,761
18,11208,7782,2487
19,11207,8725,2184
20,11217,4003,643
21,11238,6555,817
22,11231,2831,435
23,11231,2831,435
24,11215,4577,641
25,11232,2588,569
26,11203,5694,2141
27,11239,758,531
28,11236,5279,2823
29,11220,5573,1628
30,11234,6169,2288
31,11209,5801,1175
32,11228,2966,695
33,11229,5434,1813
34,11214,5272,1607
35,11223,4665,1755
36,11235,5438,2099
37,11224,2572,1284
