ZIPCODE,BLDGZIP,PO_NAME,POPULATION,AREA,STATE,COUNTY,ST_FIPS,CTY_FIPS,URL,SHAPE_AREA,SHAPE_LEN,ZCTA-to-MO,data-by-mo,data-by-_1,data-by-_2,data-by-_3,data-by-_4,data-by-_5,data-by-_6,data-by-_7,shape_ar_1,park/sqft,park/pop
11201,0,Brooklyn,53041,41094886.77,NY,Kings,36,47,http://www.usps.com/,0,0,11201,Downtown - Heights - Slope,Brooklyn,651,1068.82,60908.15,79,129.7,19.72,6553642.353,0.159475859,123.5580467
11203,0,Brooklyn,78060,60644835.46,NY,Kings,36,47,http://www.usps.com/,0,0,11203,East Flatbush - Flatbush,Brooklyn,1965,2677.39,73392.42,229,312.02,36.24,1327329.334,0.021886931,17.00396277
11204,0,Brooklyn,77354,43555184.61,NY,Kings,36,47,http://www.usps.com/,0,0,11204,Borough Park,Brooklyn,1964,2475.97,79322.45,134,168.93,28.28,864059.169,0.019838262,11.17019377
11205,0,Brooklyn,41125,23270147.95,NY,Kings,36,47,http://www.usps.com/,0,0,11205,Downtown - Heights - Slope,Brooklyn,691,1569.98,44013.21,44,99.97,25.82,857171.1123,0.036835654,20.84306656
11206,0,Brooklyn,83575,40700720.97,NY,Kings,36,47,http://www.usps.com/,0,0,11206,Williamsburg - Bushwick,Brooklyn,1531,1790.71,85496.61,145,169.6,29.43,1607931.399,0.039506214,19.23938257
11207,0,Brooklyn,93556,73966260.54,NY,Kings,36,47,http://www.usps.com/,0,0,11207,East New York,Brooklyn,1985,2226.42,89156.75,195,218.72,33.65,9849085.379,0.13315646,105.2747593
11208,0,Brooklyn,94410,79303684.26,NY,Kings,36,47,http://www.usps.com/,0,0,11208,East New York,Brooklyn,2278,2382.65,95607.69,214,223.83,37.11,12904787,0.162726198,136.6887723
11209,0,Brooklyn,69255,57842313.96,NY,Kings,36,47,http://www.usps.com/,0,0,11425,,,,,,,,,7375214.333,0.12750552,106.4936009
11210,0,Brooklyn,67067,47887022.99,NY,Kings,36,47,http://www.usps.com/,0,0,11210,East Flatbush - Flatbush,Brooklyn,1615,2407.24,67089.29,125,186.32,34.75,605946.0729,0.012653659,9.0349363
11211,0,Brooklyn,60861,40470881.67,NY,Kings,36,47,http://www.usps.com/,0,0,11211,Greenpoint,Brooklyn,2001,2009.14,99594.67,120,120.49,26.83,1526153.582,0.037709917,25.07605169
