dates,11231_entries,11231_exits
01/01/2019,3045,1919
01/02/2019,10661,4611
01/03/2019,11534,4823
01/04/2019,11507,5221
01/05/2019,4870,2272
01/06/2019,3744,1909
01/07/2019,11851,5014
01/08/2019,12120,5088
01/09/2019,12421,5123
01/10/2019,12705,5205
01/11/2019,11979,5018
01/12/2019,5742,2912
01/13/2019,4057,2259
01/14/2019,11724,4681
01/15/2019,12282,4947
01/16/2019,12276,5073
01/17/2019,12223,5171
01/18/2019,11617,4795
01/19/2019,5521,2800
01/20/2019,3975,2195
01/21/2019,5087,2707
01/22/2019,11646,4832
01/23/2019,11933,5092
01/24/2019,12139,5072
01/25/2019,5507,1430
01/26/2019,5961,3107
01/27/2019,4396,2424
01/28/2019,11631,4804
01/29/2019,12146,5352
01/30/2019,12032,4822
01/31/2019,11202,4546
02/01/2019,11652,4740
02/02/2019,5467,2633
02/03/2019,4244,2230
02/04/2019,11617,5014
02/05/2019,11235,4608
02/06/2019,12691,5238
02/07/2019,12666,5094
02/08/2019,12234,5234
02/09/2019,6203,3241
02/10/2019,4422,2347
02/11/2019,12005,4875
02/12/2019,11858,5012
02/13/2019,12654,5197
02/14/2019,12570,5136
02/15/2019,11583,5050
02/16/2019,0,0
02/17/2019,4619,2350
02/18/2019,5880,2783
02/19/2019,9954,4120
02/20/2019,10058,4114
02/21/2019,10647,4319
02/22/2019,10238,4313
03/02/2019,5915,3015
03/03/2019,4357,2332
03/04/2019,9257,3995
03/05/2019,12496,5160
03/06/2019,12706,5125
03/07/2019,12700,5039
03/08/2019,12285,5316
03/09/2019,6549,3401
03/10/2019,3639,1898
03/11/2019,11334,4305
03/12/2019,11919,4544
03/13/2019,11851,4498
03/14/2019,12003,4736
03/15/2019,11275,4683
03/16/2019,5696,2872
03/17/2019,4415,2308
03/18/2019,10960,4291
03/19/2019,11412,4486
03/20/2019,11526,4521
03/21/2019,11405,4461
03/22/2019,10850,4411
03/23/2019,5132,2552
03/24/2019,4117,2263
03/25/2019,10860,4341
03/26/2019,11256,4487
03/27/2019,11188,4363
03/28/2019,11519,4214
03/29/2019,10948,4332
03/30/2019,5107,2867
03/31/2019,3671,2081
04/01/2019,10904,4373
04/02/2019,11569,4546
04/03/2019,11501,4421
04/04/2019,11942,4670
04/05/2019,11510,4316
04/06/2019,5905,2429
04/07/2019,4261,1876
04/08/2019,11339,3740
04/09/2019,9757,2376
04/10/2019,11923,3762
04/11/2019,11988,3937
04/12/2019,11599,4495
04/13/2019,5751,2802
04/14/2019,4167,2149
04/15/2019,11524,4466
04/16/2019,11958,4312
04/17/2019,12212,4479
04/18/2019,11949,4688
04/19/2019,8659,3793
04/20/2019,3765,1690
04/21/2019,2629,1229
04/22/2019,8818,3547
04/23/2019,9911,3839
04/24/2019,9833,3688
04/25/2019,9981,3641
04/26/2019,9182,3830
04/27/2019,5514,3071
04/28/2019,4087,2204
04/29/2019,11433,4476
04/30/2019,11814,4484
05/01/2019,11926,4611
05/02/2019,12112,4623
05/03/2019,11763,4687
05/04/2019,5833,3152
05/05/2019,4538,2662
05/06/2019,11397,4268
05/07/2019,11761,4510
05/08/2019,11823,4671
05/09/2019,12255,4636
05/10/2019,11624,4745
05/11/2019,6083,2981
05/12/2019,3563,1941
05/13/2019,11585,4400
05/14/2019,11917,4690
05/15/2019,12110,4689
05/16/2019,12081,4579
05/17/2019,11658,4562
05/18/2019,6504,3934
05/19/2019,4790,2757
05/20/2019,11439,4590
05/21/2019,11912,4603
05/22/2019,11914,4847
05/23/2019,11991,4511
05/24/2019,10323,4337
05/25/2019,5226,2912
05/26/2019,3940,2350
05/27/2019,3790,2236
05/28/2019,11375,4459
05/29/2019,11930,4500
05/30/2019,12328,4559
05/31/2019,11583,4605
06/01/2019,5904,3007
06/02/2019,4561,2343
06/03/2019,11384,4583
06/04/2019,10846,4209
06/05/2019,12029,4615
06/06/2019,11449,4250
06/07/2019,11449,4906
06/08/2019,5943,3249
06/09/2019,4453,2641
06/10/2019,11094,4437
06/11/2019,11688,4631
06/12/2019,12313,4848
06/13/2019,12377,4678
06/14/2019,11498,4816
06/22/2019,5844,3018
06/23/2019,4681,2480
06/24/2019,10347,4189
06/25/2019,11102,4347
06/26/2019,11154,4553
06/27/2019,10716,4289
06/28/2019,9877,4188
06/29/2019,5401,2753
06/30/2019,4815,2536
