,dates,CD6_entries,CD6_exits
181,01/01/2020,1007.0,1168.0
180,01/02/2020,2921.0,3000.0
179,01/03/2020,3072.0,2939.0
178,01/04/2020,1329.0,1462.0
177,01/05/2020,1018.0,1134.0
176,01/06/2020,3240.0,3209.0
175,01/07/2020,3355.0,3237.0
174,01/08/2020,3165.0,3257.0
173,01/09/2020,3186.0,3162.0
172,01/10/2020,3230.0,3047.0
171,01/11/2020,1389.0,1472.0
170,01/12/2020,1057.0,1163.0
169,01/13/2020,3214.0,3133.0
168,01/14/2020,3342.0,3258.0
167,01/15/2020,3209.0,3202.0
166,01/16/2020,3289.0,3206.0
165,01/17/2020,3107.0,3053.0
164,01/18/2020,1094.0,1204.0
163,01/19/2020,923.0,967.0
162,01/20/2020,1641.0,1736.0
161,01/21/2020,3133.0,2990.0
160,01/22/2020,3077.0,2999.0
159,01/23/2020,3109.0,2940.0
158,01/24/2020,3044.0,2808.0
157,01/25/2020,1239.0,1284.0
156,01/26/2020,964.0,1116.0
155,01/27/2020,3128.0,3062.0
154,01/28/2020,3418.0,3209.0
153,01/29/2020,3299.0,3149.0
152,01/30/2020,3266.0,3089.0
151,01/31/2020,3197.0,3101.0
150,02/01/2020,1286.0,1395.0
149,02/02/2020,961.0,1092.0
148,02/03/2020,3226.0,3190.0
147,02/04/2020,3324.0,3269.0
146,02/05/2020,3290.0,3152.0
145,02/06/2020,3201.0,3149.0
144,02/07/2020,3152.0,2993.0
143,02/08/2020,1346.0,1491.0
142,02/09/2020,973.0,1093.0
141,02/10/2020,3182.0,3041.0
140,02/11/2020,3287.0,3040.0
139,02/12/2020,3260.0,3033.0
138,02/13/2020,3325.0,3008.0
137,02/14/2020,3156.0,2944.0
136,02/15/2020,1177.0,1172.0
135,02/16/2020,881.0,951.0
134,02/17/2020,1574.0,1470.0
133,02/18/2020,2900.0,2781.0
132,02/19/2020,2856.0,2655.0
131,02/20/2020,2874.0,2710.0
130,02/21/2020,2737.0,2667.0
129,02/22/2020,1264.0,1354.0
128,02/23/2020,982.0,1089.0
127,02/24/2020,3150.0,3104.0
126,02/25/2020,3235.0,3215.0
125,02/26/2020,3172.0,3028.0
124,02/27/2020,3153.0,2949.0
123,02/28/2020,3060.0,2895.0
122,02/29/2020,1254.0,1255.0
121,03/01/2020,958.0,997.0
120,03/02/2020,3144.0,3113.0
119,03/03/2020,3308.0,3092.0
118,03/04/2020,3062.0,2948.0
117,03/05/2020,3185.0,3040.0
116,03/06/2020,3108.0,2930.0
115,03/07/2020,1292.0,1326.0
114,03/08/2020,965.0,991.0
113,03/09/2020,3156.0,3130.0
112,03/10/2020,3197.0,3188.0
111,03/11/2020,3075.0,3128.0
110,03/12/2020,2838.0,2882.0
109,03/13/2020,2674.0,2628.0
108,03/14/2020,1078.0,1189.0
107,03/15/2020,787.0,909.0
106,03/16/2020,2006.0,2055.0
105,03/17/2020,1887.0,1985.0
104,03/18/2020,1740.0,1914.0
103,03/19/2020,1621.0,1826.0
102,03/20/2020,1485.0,1668.0
101,03/21/2020,659.0,843.0
100,03/22/2020,422.0,571.0
99,03/23/2020,981.0,1132.0
98,03/24/2020,1043.0,1270.0
97,03/25/2020,998.0,1215.0
96,03/26/2020,991.0,1195.0
95,03/27/2020,938.0,1172.0
94,03/28/2020,415.0,639.0
93,03/29/2020,341.0,456.0
92,03/30/2020,849.0,1056.0
91,03/31/2020,829.0,1052.0
90,04/01/2020,835.0,1073.0
89,04/02/2020,793.0,983.0
88,04/03/2020,801.0,928.0
87,04/04/2020,382.0,585.0
86,04/05/2020,334.0,443.0
85,04/06/2020,748.0,958.0
84,04/07/2020,707.0,1006.0
83,04/08/2020,704.0,957.0
82,04/09/2020,667.0,914.0
81,04/10/2020,644.0,885.0
80,04/11/2020,367.0,576.0
79,04/12/2020,280.0,408.0
