dates,11201_entries,11201_exits,11212_entries,11212_exits,11215_entries,11215_exits,11217_entries,11217_exits,11226_entries,11226_exits,11231_entries,11231_exits,11233_entries,11233_exits,11236_entries,11236_exits
3/2/2019,7778,4357,12134,12648,9855,12025,1010,1399,10419,3963,5915,3015,5347,4056,2446,2240
3/3/2019,6947,3802,9703,10243,7752,9134,776,1198,7973,3222,4357,2332,4243,3521,3391,3116
3/4/2019,14693,6162,18870,17918,15455,15423,4307,3098,15620,5218,9257,3995,6052,4552,3311,3010
3/5/2019,17220,6459,27251,25458,20146,19243,5969,3910,21713,6997,12496,5160,8440,6802,3268,2871
3/6/2019,16903,6299,27129,24889,20274,19601,6039,3999,21580,6978,12706,5125,8297,6714,3272,2826
3/7/2019,17147,7147,26991,24993,20129,19538,5925,3950,21414,6967,12700,5039,8245,6694,1426,1412
3/8/2019,16698,7385,26897,25277,19736,19363,5860,3884,21473,6716,12285,5316,8399,6777,931,1000
3/9/2019,9890,5836,5267,6192,10605,13362,1037,1494,11011,4089,6549,3401,3600,2271,3377,2988
3/10/2019,5408,3624,7685,7438,6139,7473,611,902,7260,3063,3639,1898,3665,2700,3503,3309
3/11/2019,17208,7419,26460,22891,18088,16837,5392,3358,21470,7147,11334,4305,8322,6235,3413,3170
3/12/2019,16957,7335,26563,22937,18495,17059,5465,3260,21950,7360,11919,4544,8301,6335,3383,3125
3/13/2019,17153,7399,26539,23793,18504,17435,5519,3608,21678,7332,11851,4498,8157,6309,3384,2954
3/14/2019,17342,7491,26505,22768,18833,17770,5705,3417,22326,7268,12003,4736,8308,6209,1431,1343
3/15/2019,16704,7600,26277,23416,18451,17171,5378,3485,21786,7056,11275,4683,8251,6382,1018,1020
3/16/2019,8793,5341,12374,12268,6984,9064,926,1197,11346,4163,5696,2872,5860,4159,3326,3149
3/17/2019,7636,4822,9351,9494,5543,7188,834,1155,8483,3410,4415,2308,4316,3198,3498,3292
3/18/2019,16457,7057,26403,23720,17486,16675,5285,3183,21708,7350,10960,4291,8040,6345,3503,3156
3/19/2019,17078,7317,26938,23888,14601,14326,1786,763,22463,7553,11412,4486,8247,6401,3387,3057
3/20/2019,17156,7658,27334,23798,18468,17226,5404,3248,22539,7972,11526,4521,8249,6504,3354,2966
3/21/2019,16070,7080,25694,22877,18137,16925,5340,3448,21559,7278,11405,4461,7959,6086,1467,1520
3/22/2019,15888,7163,26177,23187,17521,16125,5303,3387,21686,7572,10850,4411,8093,6198,1156,1115
3/23/2019,9137,5840,13004,13200,10070,10405,2614,1993,11199,4185,5132,2552,4568,3712,3378,3093
3/24/2019,8366,5448,10068,10476,8055,7987,2189,1733,8388,3421,4117,2263,3698,3052,3451,3193
3/25/2019,15340,6921,26020,23250,17378,16116,5163,3097,21734,7406,10860,4341,8039,6292,3418,3173
3/26/2019,16749,7073,26973,22543,18175,16441,5442,3086,22476,7785,11256,4487,8290,6567,3474,3179
3/27/2019,17333,7179,26776,23729,18331,16921,5389,3355,22115,7618,11188,4363,8279,6295,3434,2982
3/28/2019,17573,7794,26846,23299,18498,17140,5374,3232,22553,7477,11519,4214,8112,6351,62,215
3/29/2019,16588,7653,26089,22912,17887,17261,5282,3367,22096,7475,10948,4332,8050,6121,31,55
3/30/2019,7322,6180,10908,11199,10675,11091,2243,2029,12003,4857,5107,2867,4732,3795,3407,3048
3/31/2019,4447,3335,7381,8345,7914,8310,1808,1585,8168,3540,3671,2081,3278,2850,3462,3171
4/1/2019,16594,6682,26320,22792,17904,17567,5377,3319,19915,5932,10904,4373,8229,6397,3543,3210
4/2/2019,16929,7334,26802,23533,18713,17950,5482,3380,22148,7467,11569,4546,8269,6561,3498,3148
4/3/2019,17807,7464,27586,23618,19079,18189,5557,3389,22437,7559,11501,4421,8453,6382,3417,2991
4/4/2019,17607,7764,27213,23660,18996,18341,5568,3278,22556,7726,11942,4670,8383,6445,1590,1634
4/5/2019,16103,7374,26301,23032,18846,18093,5529,3428,21626,7179,11510,4316,8217,6249,1203,1235
4/6/2019,10052,6178,14060,13669,10482,10614,2897,2092,11602,4360,5905,2429,4485,3389,3459,3129
4/7/2019,9046,5852,10307,10944,7579,8023,2186,1861,8471,3599,4261,1876,3305,2744,3472,3231
4/8/2019,16648,7637,26683,23406,18038,17118,5387,3430,21725,7478,11339,3740,8138,6344,3503,3141
4/9/2019,16709,7141,27023,23578,18512,17345,5667,3654,22045,7516,9757,2376,8169,6360,3550,3278
4/10/2019,17769,7855,27571,24126,18855,17160,5607,3593,22344,7679,11923,3762,8307,6390,3425,3137
4/11/2019,17486,7672,27059,23567,18755,17204,5590,3309,22065,7590,11988,3937,8037,6095,1505,1428
4/12/2019,17160,8042,26689,23410,18516,17221,5599,3468,22084,7338,11599,4495,8041,6230,1012,1138
4/13/2019,9403,4667,13270,12712,10327,10741,2722,2185,11705,4388,5751,2802,4591,3614,3274,2971
4/14/2019,7450,4114,9451,9959,8216,8579,2124,1832,8198,3449,4167,2149,3604,2898,3539,3259
4/15/2019,17133,7238,25346,21662,18028,16762,5358,3283,21751,7482,11524,4466,7675,5994,3406,3134
4/16/2019,18613,8331,26777,23752,19119,17422,5716,3463,22544,7575,11958,4312,8207,6402,3489,3072
4/17/2019,18570,8613,26800,23678,18885,17323,5582,3277,22457,7663,12212,4479,8129,6135,2646,2430
4/18/2019,17905,7562,26764,23160,18760,17193,5554,3496,22123,7374,11949,4688,8024,6211,1328,1415
4/19/2019,16120,8309,20559,18303,14921,13354,4196,2053,17229,5862,8659,3793,6541,4977,1054,1144
4/20/2019,7170,3803,12056,12010,8431,5742,3115,2069,10424,4003,3765,1690,4215,3230,2850,2622
4/21/2019,8105,4508,9727,10152,6043,4304,2326,1811,7752,3276,2629,1229,3309,2754,3190,3008
4/22/2019,15494,7306,21150,18933,15527,14496,4302,2599,17930,6077,8818,3547,6450,4969,3196,2890
